kills,deaths,assists,last_hits,denies,gpm,xpm,duration,skill,match_result
5,1,18,43,9,383,445,1284,1,1
7,4,12,36,4,408,531,1360,1,1
6,5,19,30,2,878,1613,1328,1,1
5,7,11,38,4,630,1430,1404,1,0
3,8,3,29,3,570,1405,1246,1,0
1,0,0,1,2,313,161,157,1,1
1,7,2,6,0,471,589,715,1,0
2,2,1,4,1,329,299,317,1,0
1,7,10,22,0,437,1288,886,1,0
2,6,8,15,4,386,980,923,1,0
8,3,12,14,2,883,1000,780,1,1
2,1,1,62,16,350,375,840,1,1
4,6,1,19,5,408,1275,978,1,0
0,1,5,15,2,296,283,833,1,1
23,2,26,13,0,1425,2349,779,1,1
3,9,5,13,0,447,1512,1121,1,0
5,12,6,15,2,538,1450,1200,1,0
10,2,12,10,1,841,1045,1134,1,1
7,4,5,35,3,803,1059,957,1,1
1,10,4,11,2,324,981,1078,1,0
8,3,18,14,6,813,1595,1155,1,1
6,8,8,17,0,283,265,1017,1,0
4,0,9,26,0,758,1572,1119,1,1
2,8,0,18,4,340,647,826,1,0
2,1,2,18,0,1176,785,692,1,0
1,0,2,46,7,639,567,639,1,1
1,9,5,8,0,389,1117,898,1,0
4,1,14,14,0,637,1054,1197,1,1
9,2,7,33,2,915,1454,965,1,1
4,1,14,22,1,784,1640,1071,1,1
1,5,3,17,5,347,952,1007,1,0
5,4,7,54,7,647,1701,1038,1,0
6,4,17,12,5,892,1859,925,1,1
13,1,9,18,2,801,1484,1219,1,1
11,4,8,33,2,602,1248,1192,1,0
4,8,9,15,0,1061,1493,1260,1,0
4,4,6,85,14,631,1058,1270,1,0
2,7,4,19,6,383,967,1200,1,0
0,8,5,1,0,276,722,760,1,0
2,5,10,47,4,741,1460,1224,1,1
0,4,1,20,5,366,548,534,1,0
6,4,13,36,1,960,1642,1190,1,1
5,4,11,33,13,730,1620,1281,1,1
9,4,14,18,2,828,1685,1306,1,1
2,9,8,15,1,488,986,1277,1,0
3,5,4,21,0,370,859,1313,1,0
1,1,3,4,1,220,225,785,1,1
10,3,1,73,5,1003,2332,1096,1,1
